City/Community,Latitude,Longitude,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20,8/11/20,8/12/20,8/13/20,8/14/20,8/15/20,8/16/20,8/17/20,8/18/20,8/19/20,8/20/20,8/21/20,8/22/20,8/23/20,8/24/20,8/25/20,8/26/20,8/27/20,8/28/20,8/29/20,8/30/20,8/31/20,9/1/20,9/2/20,9/3/20,9/4/20,9/5/20,9/6/20,9/7/20,9/8/20,9/9/20,9/10/20,9/11/20,9/12/20,9/13/20,9/14/20,9/15/20,9/16/20,9/17/20,9/18/20,9/19/20,9/20/20,9/21/20,9/22/20,9/23/20,9/24/20,9/25/20,9/26/20,9/27/20,9/28/20,9/29/20,9/30/20,10/1/20,10/2/20,10/3/20,10/4/20,10/5/20,10/6/20,10/7/20,10/8/20,10/9/20,10/10/20,10/11/20,10/12/20,10/13/20,10/14/20,10/15/20,10/16/20,10/17/20,10/18/20,10/19/20,10/20/20,10/21/20,10/22/20,10/23/20,10/24/20,10/25/20,10/26/20,10/27/20,10/28/20,10/29/20,10/30/20,10/31/20,11/1/20,11/2/20,11/3/20,11/4/20,11/5/20,11/6/20,11/7/20,11/8/20,11/9/20,11/10/20
Los Angeles - Century City,34.052414,-118.418918,6,0,1,2,-3,2,0,1,4,4,0,2,0,4,0,0,0,0,1,3,0,0,0,0,-1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,-1,-1,2,0,1,-3,0,1,-1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,1,0,0,5,1,-1,0,1,2,0,1,-1,2,1,0,0,0,2,1,0,0,1,0,3,1,0,3,3,3,1,1,4,2,2,0,2,3,4,3,0,-1,-1,0,2,-1,1,1,1,0,0,1,0,0,0,1,3,1,0,0,1,1,1,1,0,1,2,1,-2,0,1,0,0,1,0,1,0,0,1,1,-1,1,0,0,1,0,0,-1,0,1,1,-1,0,0,0,1,0,0,2,0,0,0,0,1,2,0,0,0,1,0,1,0,0,1,-1,1,0,1,1,0,0,3,0,2,0,2,1,0,1,1,0,3,2,0,0,0,0,1,0,1,2,1,1,0,2,1,5,5,1,1,0
Los Angeles - Century Palms/Cove,33.932513,-118.268073,0,0,2,0,0,2,3,0,2,1,0,2,0,4,2,2,0,2,3,2,0,2,1,1,0,1,2,1,10,4,7,5,4,3,3,5,3,9,3,4,1,5,0,10,4,1,3,5,0,4,3,5,4,6,5,6,4,1,9,2,4,8,8,10,17,10,16,20,14,13,7,20,11,9,11,6,6,5,12,-1,11,19,10,1,5,9,3,6,5,19,14,13,11,11,13,11,7,17,16,13,12,12,0,0,53,11,26,24,7,21,18,17,19,29,6,29,14,9,16,30,14,23,5,10,21,7,10,19,30,9,13,19,9,16,18,9,22,18,17,4,9,7,13,12,12,3,6,4,8,16,5,5,7,2,5,5,6,8,13,4,4,2,4,3,8,9,5,5,5,3,3,2,0,5,3,2,-1,3,4,5,4,3,2,4,5,6,-1,3,1,1,2,2,7,6,1,7,0,4,8,2,2,1,3,3,6,11,5,0,12,1,1,2,1,23,11,15,5,1,5,4,3,6,3,2,11,2,4,2,2,7,3,6,4
Los Angeles - Chatsworth,34.256595,-118.596153,0,0,0,1,2,1,4,2,4,4,2,-1,0,5,3,1,2,3,2,1,0,1,0,1,0,4,2,0,4,6,4,2,6,2,2,2,3,11,4,6,5,3,2,4,1,4,1,1,1,4,9,5,5,1,9,2,3,2,1,1,5,4,3,1,7,1,3,4,5,7,1,3,1,2,3,2,1,2,4,1,1,5,4,1,0,4,1,5,3,8,3,3,3,4,1,3,3,0,8,7,2,7,0,0,13,3,6,6,2,9,7,11,6,3,6,9,7,1,11,11,4,5,12,1,18,4,6,4,15,8,3,11,2,1,2,5,6,12,7,2,7,4,7,4,5,4,4,2,1,2,2,2,1,4,1,2,4,2,2,2,0,4,0,2,2,2,11,0,0,0,2,1,2,4,6,2,1,5,4,5,5,4,1,-1,-1,7,5,2,1,2,4,3,3,3,3,2,1,4,3,3,3,3,7,3,3,1,10,1,0,0,4,1,2,11,8,14,2,2,5,3,8,3,2,3,1,3,7,9,8,1,5,4,10
Los Angeles - Cheviot Hills,34.041244,-118.409804,0,0,0,0,0,0,0,5,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,1,0,0,1,1,1,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,5,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,10,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,4,-2,0,0,0,0,2,0,4,0,0,1,0,2,1,1,0,0,0,1,1,1,0,1,1,1
Los Angeles - Chinatown,34.061769,-118.241141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,1,-1,2,2,1,0,0,2,1,1,0,1,0,0,0,0,0,3,0,0,0,0,0,-1,0,1,0,1,0,0,2,0,0,1,1,2,1,1,2,0,2,0,0,0,1,4,0,0,1,1,1,1,3,1,5,0,1,4,1,1,1,0,2,2,1,2,1,4,2,0,1,1,1,0,1,3,0,2,2,2,0,0,1,1,1,0,1,1,4,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,1,0,1,0,2,1,0,0,2,0,1,0,3,0,0,2,0,0,0,1,3,1,0,2,0,0,5,1,3,1,0,1,0,2,2,0,1,0,0,1,0,1,1,5,1,1
Los Angeles - Cloverdale/Cochran,34.039013,-118.356498,1,1,1,0,-3,0,0,0,0,5,0,3,2,0,0,0,0,0,1,0,0,1,1,0,-1,1,0,0,4,5,1,2,3,2,1,0,2,3,-1,3,1,0,0,1,2,0,2,1,0,0,1,0,0,0,4,0,2,0,0,1,0,2,0,1,2,2,1,6,5,3,2,0,1,0,2,0,1,5,2,1,2,2,2,2,1,0,5,2,2,1,1,7,3,2,0,1,0,1,4,4,1,6,0,0,7,2,4,4,3,6,1,8,3,9,0,5,1,6,3,2,0,0,4,-1,5,6,3,0,6,2,1,1,1,3,0,1,5,4,1,1,2,1,2,1,0,0,0,1,0,3,2,2,0,2,2,1,3,5,1,2,2,1,1,3,1,0,0,0,0,0,-1,1,2,1,2,1,0,0,1,0,1,0,0,0,0,2,3,2,0,1,1,2,0,1,0,1,1,2,2,0,5,5,0,0,0,4,5,3,1,1,1,0,1,5,4,1,0,0,3,2,1,2,1,2,1,2,4,0,1,1,1,2,1
Los Angeles - Country Club Park,34.054658,-118.325255,0,1,-1,0,0,0,0,0,5,3,1,0,1,2,2,1,1,2,3,1,1,2,0,3,1,1,2,0,1,11,6,2,0,1,1,2,2,1,3,2,2,2,1,1,4,0,2,0,1,0,0,2,1,0,-1,0,0,3,0,0,1,0,1,5,3,1,1,1,3,3,0,1,1,1,1,4,0,2,0,0,2,3,0,1,0,1,4,2,6,3,1,4,1,1,0,2,0,0,4,0,1,1,0,0,8,0,6,4,4,4,4,3,2,8,3,4,1,2,3,0,2,2,0,-1,1,1,1,2,0,9,1,4,0,1,2,2,3,3,2,3,5,3,3,3,2,2,0,2,1,2,1,0,0,0,0,1,3,2,0,2,0,-1,2,2,0,3,1,1,0,0,-1,2,14,7,0,1,8,3,1,12,8,0,5,-1,2,5,4,4,2,2,1,4,1,6,9,4,0,1,4,3,7,0,1,2,0,2,4,-1,-17,1,0,0,0,6,3,1,2,1,-5,6,-1,2,3,1,2,0,0,2,1,0,1,2,3
Los Angeles - Crenshaw District,34.023079,-118.335898,0,0,0,2,-2,0,0,0,0,5,2,0,1,1,0,0,3,1,0,3,0,1,3,2,0,1,3,2,7,6,2,1,0,0,0,0,0,1,1,2,0,1,0,5,0,1,0,1,1,1,2,0,0,1,1,2,0,2,0,0,1,0,0,0,0,0,1,1,3,-1,3,1,6,0,1,2,0,1,1,2,0,1,4,2,0,1,2,0,-1,6,2,1,4,0,0,2,1,3,4,4,2,3,0,0,8,1,7,3,1,4,1,3,4,6,1,5,2,1,5,1,0,4,2,2,11,5,3,5,6,2,2,7,1,2,3,5,7,3,2,2,0,3,1,2,0,0,0,1,0,1,3,0,1,0,2,0,1,1,3,0,2,2,1,1,0,4,0,0,0,0,2,0,1,2,0,0,0,1,0,3,3,0,-1,1,3,1,0,0,0,0,2,2,1,0,0,0,0,3,3,0,1,1,2,2,0,3,2,1,2,0,1,3,0,3,5,2,1,1,1,1,0,4,2,1,3,1,3,4,0,0,2,2,2
Los Angeles - Crestview,34.049756,-118.378614,1,1,-5,7,-2,2,2,2,0,2,2,3,0,3,6,2,0,2,2,5,2,1,0,0,2,0,2,0,4,4,2,1,1,0,0,0,2,1,0,2,1,0,2,1,2,0,0,1,1,3,1,1,1,0,0,0,0,0,0,1,1,1,2,3,0,0,1,1,1,1,0,0,2,0,0,1,0,1,2,1,0,0,0,1,0,0,2,1,0,0,0,2,3,1,3,1,5,5,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,2,1,1,2,2,0,0,0,-1,1,0,1,3,1,0,0,1,0,0,1,0,4,1,7,0,0,1,1,1,3,1,0,0,1,2,0,-1,1,0,4,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,-1,2,1,1,0,0,0,0,3,1,0,0,0,1,1,1,0,0,0,1,0,0,0,3,2,0,2,0,0,0,1,0,0,0,0,0,-2,2,0,0,1,1,1,2,3,0,0,0,0,1,2,0,1,1,2,0,0,3,3,0,0,3
Los Angeles - Del Rey,33.989676,-118.424085,0,1,4,2,0,1,2,2,2,1,3,2,3,2,0,2,0,2,0,1,0,1,3,0,0,0,2,0,2,3,0,1,0,1,1,0,0,1,2,1,1,1,1,3,2,0,0,0,0,0,0,1,2,0,1,0,1,0,1,1,1,1,1,1,0,3,2,3,2,1,1,1,2,0,0,0,4,0,0,0,1,4,3,0,0,0,1,1,0,4,1,1,1,2,0,5,3,4,9,6,2,4,0,0,6,2,3,6,3,6,3,7,10,3,3,6,3,1,1,6,5,6,5,4,3,0,3,3,6,4,1,5,3,1,2,5,11,3,5,3,1,-1,3,6,1,2,0,1,0,1,2,4,2,5,0,-1,3,4,3,1,1,0,0,0,1,2,1,0,1,0,1,1,0,3,0,0,1,1,6,2,1,1,0,0,2,2,0,2,0,0,1,2,2,3,4,1,1,0,1,0,1,1,1,1,3,3,2,0,3,-1,3,0,0,7,3,1,1,0,1,0,3,3,1,0,3,1,0,9,5,6,5,9,1
Los Angeles - Downtown,34.044782,-118.258191,1,1,3,1,1,1,1,1,3,1,0,2,1,1,2,-1,3,1,0,2,1,0,0,0,0,1,3,0,3,2,5,8,0,0,2,6,0,6,0,5,3,2,1,4,2,2,2,1,2,1,2,5,0,0,1,1,0,7,7,4,3,4,3,2,5,3,2,10,5,-1,2,5,0,3,2,4,5,0,3,1,12,3,6,2,2,3,10,0,1,6,3,7,5,4,12,2,7,11,17,14,11,3,0,0,23,2,19,2,6,5,11,9,9,17,9,18,12,3,9,10,9,8,6,2,8,3,7,2,8,6,3,7,0,4,6,6,4,4,15,6,0,4,4,1,6,6,8,2,6,4,9,7,2,7,3,0,3,10,7,7,2,7,5,7,6,11,10,4,1,2,1,9,1,5,0,5,6,3,3,3,1,2,7,2,9,5,3,8,0,1,2,1,7,3,3,4,2,4,3,3,3,3,2,1,0,2,1,4,5,1,2,1,6,9,0,5,0,1,2,1,5,6,4,3,2,1,11,5,7,7,6,4,10
Los Angeles - Eagle Rock,34.134715,-118.205257,1,0,0,1,1,4,0,0,2,1,2,1,4,3,1,3,4,4,1,0,1,1,8,2,2,4,1,-1,6,5,5,3,3,2,4,0,2,2,1,6,2,2,2,3,5,1,2,9,3,2,7,10,1,0,1,1,-1,1,4,4,1,8,4,2,4,1,2,5,4,0,3,0,1,5,3,0,7,3,2,0,8,5,1,3,2,1,9,6,2,10,3,20,5,5,5,7,8,4,4,4,6,9,0,0,15,2,14,5,5,4,6,7,5,5,2,9,1,3,4,3,3,9,1,2,7,5,5,4,3,7,6,7,0,4,3,9,8,12,7,5,4,1,2,4,6,7,4,6,-1,5,4,2,5,3,2,0,3,6,9,3,0,2,2,3,1,5,1,1,0,2,1,3,4,2,0,0,-1,2,4,1,1,1,1,2,3,1,1,7,2,3,6,3,8,5,4,1,1,1,2,4,2,-3,3,0,0,5,1,3,2,-1,2,-1,0,14,13,3,0,1,5,3,4,2,6,3,11,3,10,3,8,12,9,7,7
Los Angeles - East Hollywood,34.092362,-118.292118,0,0,0,1,1,2,1,4,3,-1,0,2,2,0,2,0,5,6,8,5,3,3,4,2,0,4,6,5,3,8,11,7,2,5,6,2,5,4,3,3,4,1,3,7,2,11,6,1,1,0,8,3,2,7,3,2,1,1,4,2,8,3,0,4,2,4,3,4,2,0,1,2,3,3,1,1,6,0,1,1,7,1,1,0,0,1,7,3,1,5,1,17,4,5,4,7,0,1,10,9,7,9,0,0,19,2,8,4,1,2,4,5,2,6,4,7,2,1,9,6,4,3,1,6,6,4,5,3,13,9,7,5,5,3,0,4,10,5,3,4,0,3,1,2,-1,1,3,0,2,2,1,3,2,2,0,0,0,1,0,1,4,2,-1,3,3,5,4,3,4,1,0,9,2,-1,2,0,0,1,1,1,5,6,5,2,2,3,8,1,4,2,0,4,2,3,3,3,1,1,1,3,2,-5,3,1,2,7,4,2,3,0,2,1,0,9,7,5,2,2,8,3,2,2,0,3,7,2,7,4,6,7,8,6,3
Los Angeles - Echo Park,34.082126,-118.255039,1,0,2,3,-7,0,0,5,0,1,0,2,0,1,0,0,0,0,1,0,-1,0,0,0,1,0,1,0,2,0,1,2,1,0,0,0,0,0,0,1,1,1,0,3,3,0,1,0,0,2,4,1,0,2,4,0,0,1,0,0,0,0,0,1,1,0,1,1,3,1,0,1,0,0,0,2,2,0,1,1,7,0,1,0,0,0,3,1,0,0,1,5,2,1,1,2,2,0,0,2,2,0,0,0,3,0,2,2,1,1,1,1,1,10,4,1,1,4,3,7,4,0,1,8,6,0,0,0,8,3,2,1,2,4,1,3,5,1,3,1,0,0,4,3,2,0,3,2,2,1,1,3,3,0,2,1,0,1,7,0,1,1,-1,0,1,0,1,2,0,0,1,1,2,0,2,0,0,4,1,2,5,4,3,1,2,0,1,0,1,1,0,2,4,1,2,2,0,0,1,1,0,0,1,1,0,3,3,0,4,0,1,0,1,8,3,0,2,1,1,0,1,1,1,9,2,3,2,5,5,4,6,3,0
Los Angeles - El Sereno,34.081304,-118.177511,0,0,0,0,0,1,2,0,0,1,5,3,4,2,2,2,2,4,7,0,0,2,3,4,2,0,5,0,5,4,10,4,1,3,0,9,1,4,1,3,2,2,1,8,2,1,3,5,2,2,0,0,3,0,4,4,2,1,2,4,1,2,-1,1,7,2,4,6,3,6,4,7,2,6,7,6,10,5,2,6,10,11,15,4,8,6,22,3,6,9,10,24,19,4,4,13,5,6,15,10,6,15,0,0,30,5,25,3,10,6,16,17,6,20,6,40,9,17,12,23,7,16,7,7,15,7,21,6,31,13,11,15,9,13,4,20,25,11,13,5,10,8,11,9,17,10,10,16,3,6,10,14,9,0,3,-1,6,6,7,3,2,3,3,8,3,7,10,2,1,0,3,9,5,0,3,1,3,2,2,10,7,7,1,2,5,0,8,9,7,2,6,6,6,6,6,5,1,3,16,11,10,7,5,11,1,5,3,6,8,2,6,5,2,15,15,6,3,3,14,9,7,4,7,14,4,2,5,7,11,7,9,10,7
Los Angeles - Elysian Park,34.078172,-118.240281,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,7,0,2,1,1,3,2,1,3,2,2,0,2,4,0,4,0,1,0,2,1,0,1,1,3,2,4,0,0,2,1,0,0,3,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,2,0,1,1,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,1,1
Los Angeles - Elysian Valley,34.094131,-118.241507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,1,-1,1,0,0,2,2,2,0,2,0,0,0,1,2,0,3,0,0,0,2,0,0,0,1,0,2,3,2,1,2,0,1,0,2,2,0,1,2,0,0,5,4,1,1,1,4,2,0,0,0,-1,3,1,0,1,1,4,2,0,0,-1,2,4,2,4,1,1,11,2,2,2,2,2,2,3,6,0,0,0,0,4,1,4,2,1,2,5,3,2,3,1,3,3,3,0,0,2,0,0,1,5,3,2,0,3,1,2,5,1,8,1,7,9,3,1,2,3,1,0,4,1,2,0,1,0,3,2,2,2,2,1,-1,1,0,3,0,1,1,0,1,1,1,0,5,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,1,1,4,1,1,0,0,2,1,0,1,0,0,0,6,3,1,2,0,1,0,0,2,3,3,1,1,1,2,0,2,3,1,0,1,6,1,0,3,1,0,3,6,2,2,3,0,2,1
Los Angeles - Encino,34.157137,-118.50121,0,2,1,8,2,3,1,2,1,2,1,2,4,0,2,0,3,1,4,0,2,1,1,3,0,3,1,0,3,10,0,0,3,0,-1,3,2,1,3,0,1,2,1,5,0,3,1,4,0,0,1,4,2,0,3,1,3,-1,0,1,1,0,0,1,3,0,4,1,4,1,0,3,3,3,4,0,1,2,4,1,0,4,1,1,0,1,0,2,1,6,3,0,2,3,2,11,4,6,10,6,2,5,0,0,14,9,9,1,1,7,2,5,6,10,2,15,8,17,6,5,5,5,5,2,4,3,2,4,9,6,5,2,0,6,3,6,5,4,3,4,3,5,2,13,10,5,2,7,7,4,1,6,5,1,1,1,2,2,3,1,0,3,1,3,3,2,2,4,1,2,7,5,0,10,2,4,3,6,4,8,2,0,0,6,7,5,12,1,3,1,2,3,4,3,7,5,0,5,10,4,7,4,12,4,5,8,9,9,7,2,3,7,4,17,18,9,6,1,4,4,4,7,8,8,4,1,5,11,7,10,7,1,8
Los Angeles - Exposition,34.026819,-118.349963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,0,-1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,5,4,2,3,1,0,0,4,0,2,0,1,0,2,1,2,0,2,0,0,0,1,0,2,-1,0,1,0,1,0,0,3,0,2,0,1,0,2,0,2,0,0,3,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,0,2,0,1,0,0,0
Los Angeles - Exposition Park,34.018567,-118.298121,1,0,0,1,0,2,0,0,3,1,5,4,5,6,4,3,1,4,3,3,1,2,3,4,2,5,3,3,4,10,3,10,7,2,4,9,6,6,3,4,1,2,2,5,4,3,3,4,2,4,8,13,3,3,4,3,2,3,4,2,2,4,3,7,10,1,1,8,9,10,8,4,4,3,0,6,14,4,4,9,8,2,4,5,3,7,11,9,6,9,3,17,8,5,12,5,7,17,18,16,9,15,0,0,24,6,25,10,6,15,8,20,17,26,13,35,15,15,14,19,19,21,8,6,15,10,11,16,20,12,11,9,7,7,11,17,21,20,11,7,6,4,16,9,15,16,7,6,8,11,5,11,6,2,9,2,6,11,7,4,7,3,11,3,3,9,2,1,4,1,5,1,2,4,4,3,5,7,3,6,5,0,1,3,7,9,6,6,5,2,2,7,1,7,8,3,1,3,10,6,2,4,6,7,5,8,6,6,13,0,3,6,0,13,9,11,3,2,13,4,4,4,6,6,8,4,13,10,17,16,3,3,4
Los Angeles - Faircrest Heights,34.038906,-118.370833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
Los Angeles - Figueroa Park Square,33.932438,-118.287062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,3,0,0,2,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,2,0,1,0,1,4,0,1,0,2,0,0,1,0,0,1,2,0,1,1,0,2,1,1,4,2,2,8,2,2,1,1,4,0,0,10,2,4,2,0,1,0,1,1,6,4,1,2,0,0,5,2,15,1,2,3,3,5,6,6,4,10,7,2,3,4,4,3,2,4,3,2,3,6,10,5,6,7,0,4,2,2,8,3,0,4,0,2,5,3,2,2,1,1,-2,5,5,2,0,3,1,1,1,0,4,0,1,1,0,2,1,2,0,2,2,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,-1,2,0,0,1,1,0,3,1,1,0,2,4,0,0,3,0,5,5,5,2,2,1,2,0,1,1,0,0,0,0,1,2,4,2,1,4
Los Angeles - Florence-Firestone,33.97487,-118.26715,1,0,3,3,-4,3,0,1,5,2,4,2,2,6,1,4,3,3,3,3,0,2,4,1,0,0,4,0,7,11,12,3,9,3,3,5,13,10,0,8,0,5,4,16,7,2,3,10,4,0,9,20,5,12,13,7,6,8,4,6,8,15,11,9,22,9,16,19,23,14,7,15,11,13,15,13,20,11,13,9,20,19,17,5,13,25,16,11,15,25,14,30,17,15,14,21,19,22,31,32,17,21,0,0,42,9,36,24,15,31,17,24,32,30,17,46,24,29,27,35,24,35,27,15,53,10,13,22,50,25,23,21,10,17,10,23,30,20,17,10,21,18,21,17,13,20,6,6,3,14,11,10,16,12,4,4,15,8,10,8,8,5,2,13,7,7,10,5,1,4,1,8,10,9,7,10,2,6,13,3,14,6,9,4,7,11,9,8,1,5,11,13,12,11,6,6,9,1,14,10,16,2,3,8,0,11,6,9,5,3,5,1,2,21,15,5,8,9,12,10,6,2,14,10,11,7,13,16,9,16,21,11,5
Los Angeles - Glassell Park,34.118324,-118.231842,0,0,1,1,2,3,0,1,3,5,2,4,6,2,3,6,5,5,3,2,2,1,6,3,1,0,5,0,8,7,5,0,2,2,3,1,2,2,-1,5,3,1,1,8,0,4,6,6,1,1,1,4,2,4,2,0,1,7,3,6,0,-1,2,3,5,1,2,0,6,-1,1,2,2,1,3,1,1,2,2,4,4,2,7,3,9,6,4,1,7,7,0,10,6,2,5,4,4,6,4,7,3,5,0,0,3,3,14,0,3,1,6,6,8,6,4,8,4,4,6,19,4,13,6,6,12,3,8,3,17,9,12,8,2,3,5,5,3,5,9,3,3,3,6,8,10,5,0,3,0,2,4,4,2,1,2,0,7,8,5,6,3,2,1,1,5,5,4,1,0,2,3,3,2,4,3,8,1,3,2,2,1,3,0,0,4,1,9,5,6,2,0,3,3,4,1,2,0,1,6,3,1,4,2,0,2,2,2,3,2,0,7,1,2,4,3,4,1,4,5,3,7,2,3,7,7,8,6,6,12,1,5,4,4
Los Angeles - Gramercy Place,33.950741,-118.310231,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,1,0,2,0,0,0,2,0,0,3,0,1,2,2,3,1,0,0,1,1,2,1,1,1,0,2,3,3,1,0,0,0,1,2,1,2,1,4,0,0,0,0,1,0,1,0,3,6,2,2,1,3,1,1,2,0,0,0,3,4,0,1,1,1,4,4,0,0,1,0,0,3,2,0,1,0,1,0,1,0,1,1,1,0,0,0,0,4,6,5,1,1,1,2,1,2,2,3,6,3,4,2,2,5,1,1,1,1,2,3,2,6,5,1,4,0,3,1,2,4,0,3,1,3,3,2,1,-1,2,1,1,1,0,0,1,0,0,1,1,0,4,3,1,2,1,1,1,1,1,0,0,0,0,0,0,3,1,1,0,1,2,1,0,2,2,1,0,4,2,2,1,0,1,1,2,0,1,1,2,0,0,0,0,0,2,0,1,0,4,0,-1,0,0,0,0,0,4,1,2,0,2,1,1,1,3,3,2,0,4,5,4,3,2,0,2,0
